321,(['C4', 'Cz', 'C3', 'T6', 'Fp2']),0.6011560559272766
322,(['C4', 'Cz', 'C3', 'T6', 'F7']),0.5433526039123535
323,(['C4', 'Cz', 'C3', 'T6', 'F8']),0.7456647157669067
324,(['C4', 'Cz', 'C3', 'T6', 'Fz']),0.6358381509780884
325,(['C4', 'Cz', 'C3', 'T6', 'F3']),0.6994219422340393
326,(['C4', 'Cz', 'C3', 'T6', 'F4']),0.5780346989631653
327,(['C4', 'Cz', 'C3', 'T6', 'T5']),0.5375722646713257
328,(['C4', 'Cz', 'C3', 'O2', 'Fp1']),0.560693621635437
329,(['C4', 'Cz', 'C3', 'O2', 'Fp2']),0.7225433588027954
330,(['C4', 'Cz', 'C3', 'O2', 'F7']),0.5664739608764648
331,(['C4', 'Cz', 'C3', 'O2', 'F8']),0.7109826803207397
332,(['C4', 'Cz', 'C3', 'O2', 'Fz']),0.7052023410797119
333,(['C4', 'Cz', 'C3', 'O2', 'F3']),0.7225433588027954
334,(['C4', 'Cz', 'C3', 'O2', 'F4']),0.5722543597221375
335,(['C4', 'Cz', 'C3', 'O2', 'T5']),0.6184971332550049
336,(['C4', 'Cz', 'C3', 'O1', 'Fp1']),0.6242774724960327
337,(['C4', 'Cz', 'C3', 'O1', 'Fp2']),0.4219653308391571
338,(['C4', 'Cz', 'C3', 'O1', 'F7']),0.52601158618927
339,(['C4', 'Cz', 'C3', 'O1', 'F8']),0.5144508481025696
340,(['C4', 'Cz', 'C3', 'O1', 'Fz']),0.5722543597221375
341,(['C4', 'Cz', 'C3', 'O1', 'F3']),0.4797687828540802
342,(['C4', 'Cz', 'C3', 'O1', 'F4']),0.560693621635437
343,(['C4', 'Cz', 'C3', 'O1', 'T5']),0.6069363951683044
344,(['C4', 'Cz', 'P3', 'T3', 'Fp1']),0.49132949113845825
345,(['C4', 'Cz', 'P3', 'T3', 'Fp2']),0.6011560559272766
346,(['C4', 'Cz', 'P3', 'T3', 'F7']),0.560693621635437
347,(['C4', 'Cz', 'P3', 'T3', 'F8']),0.6127167344093323
348,(['C4', 'Cz', 'P3', 'T3', 'Fz']),0.4971098303794861
349,(['C4', 'Cz', 'P3', 'T3', 'F3']),0.5664739608764648
350,(['C4', 'Cz', 'P3', 'T3', 'F4']),0.6184971332550049
351,(['C4', 'Cz', 'P3', 'T3', 'T5']),0.5549132823944092
352,(['C4', 'Cz', 'P3', 'T4', 'Fp1']),0.5433526039123535
353,(['C4', 'Cz', 'P3', 'T4', 'Fp2']),0.7572254538536072
354,(['C4', 'Cz', 'P3', 'T4', 'F7']),0.7052023410797119
355,(['C4', 'Cz', 'P3', 'T4', 'F8']),0.6358381509780884
356,(['C4', 'Cz', 'P3', 'T4', 'Fz']),0.6416184902191162
357,(['C4', 'Cz', 'P3', 'T4', 'F3']),0.560693621635437
358,(['C4', 'Cz', 'P3', 'T4', 'F4']),0.676300585269928
359,(['C4', 'Cz', 'P3', 'T4', 'T5']),0.6184971332550049
